date,basket,basket_after_tax,nifty50
2024-04-01,0.005254089492265245,0.005254089492265245,0.006050979178091831
2024-04-02,0.0012687974199513243,0.0012687974199513243,-0.0003872860275131451
2024-04-03,-0.0018295949567354371,-0.0018295949567354371,-0.0008306302403686683
2024-04-04,0.0032031529059885822,0.0032031529059885822,0.003565912488363576
2024-04-05,-0.0022739848101184924,-0.0022739848101184924,-4.224679746289706e-05
2024-04-08,0.0057430813944981205,0.0057430813944981205,0.006778164752814453
2024-04-09,-0.001053167276383352,-0.001053167276383352,-0.0010390218270411866
2024-04-10,0.004992439954705721,0.004992439954705721,0.0049044741142307835
2024-04-12,-0.009204698669091065,-0.009204698669091065,-0.010301592814249916
2024-04-15,-0.010771495724044726,-0.010771495724044726,-0.010963897188301042
2024-04-16,-0.013996498837294548,-0.013996498837294548,-0.005594325260972033
2024-04-18,-0.007148428206879781,-0.007148428206879781,-0.0068652458503182245
2024-04-19,0.002820166619196141,0.002820166619196141,0.0068717686886063944
2024-04-22,0.011955558292506198,0.011955558292506198,0.008551965982977361
2024-04-23,-0.001010315595552014,-0.001010315595552014,0.0014147135985376202
2024-04-24,0.00028993592855346053,0.00028993592855346053,0.0015379287654238016
2024-04-25,0.014542076197766781,0.014542076197766781,0.0074969296067168845
2024-04-26,-0.0034936007163928373,-0.0034936007163928373,-0.006663626980883297
2024-04-29,0.002570478003016782,0.002570478003016782,0.00996662256880243
2024-04-30,-0.002882853651723873,-0.002882853651723873,-0.00170251731563964
2024-05-02,-0.0002931130915006393,-0.004177646370245314,0.0019177127972140884
2024-05-03,-0.0058022544454506015,-0.0058022544454506015,-0.007609859296553445
2024-05-06,-0.005380324249275022,-0.005380324249275022,-0.0014749338156797576
2024-05-07,-0.004767577491457568,-0.004767577491457568,-0.006246985595782073
2024-05-08,-0.0038220035547098926,-0.0038220035547098926,0.0
2024-05-09,-0.01956785110921318,-0.01956785110921318,-0.01546911781190452
2024-05-10,0.0017956714997074442,0.0017956714997074442,0.0044494691449390444
2024-05-13,0.007272817603948473,0.007272817603948473,0.0022149680905385605
2024-05-14,0.005431915900001752,0.005431915900001752,0.005148324587705533
2024-05-15,-0.00010170971674855435,-0.00010170971674855435,-0.0007786004689536163
2024-05-16,0.011226223307329346,0.011226223307329346,0.009157377676264788
2024-05-17,-0.0028758228893290302,-0.0028758228893290302,0.0027785403439750667
2024-05-21,0.0030285783136813267,0.0030285783136813267,0.002802051667603722
2024-05-22,0.005793594924469041,0.005793594924469041,0.0030516154749500313
2024-05-23,0.016111404869928087,0.016111404869928087,0.01636661960848307
2024-05-24,-0.004871763133028017,-0.004871763133028017,-0.0004593757337192361
2024-05-27,-0.005010141176597035,-0.005010141176597035,-0.0010737589261899938
2024-05-28,0.0013967093786880977,0.0013967093786880977,-0.0019317094176221072
2024-05-29,-0.0073255713860474365,-0.0073255713860474365,-0.008015115627261094
2024-05-30,-0.01947117210252208,-0.01947117210252208,-0.009515599658179275
2024-05-31,0.0033771780451662637,0.0033771780451662637,0.0018697799732139142
2024-06-03,0.03422313925498949,0.03422313925498949,0.03254231769535276
2024-06-04,-0.07726756062432624,-0.07726756062432624,-0.05929359941641077
2024-06-05,0.034181997139028045,0.034181997139028045,0.033624236760035675
2024-06-06,0.009251899400709316,0.009251899400709316,0.008888049244237806
2024-06-07,0.01680958968042765,0.01680958968042765,0.020539931466807104
2024-06-10,0.005832206736086401,0.005832206736086401,-0.0013289382574128705
2024-06-11,0.00514122362766638,0.00514122362766638,0.0002429314342191624
2024-06-12,0.007966241880314357,0.007966241880314357,0.002497312914139238
2024-06-13,0.004906469289192688,0.004906469289192688,0.0032564994745150067
2024-06-14,0.009781060750578377,0.009781060750578377,0.0028505279152657437
2024-06-18,0.006459686506039237,0.006459686506039237,0.003933450786960613
