date,basket,basket_after_tax,nifty50
2017-09-01,0.00046771088939211993,0.00046771088939211993,0.006935037387564069
2017-09-04,-0.0040224181983910335,-0.0040224181983910335,-0.006270568016333078
2017-09-05,0.013863023885375254,0.013863023885375254,0.005384908427934487
2017-09-06,0.0008911911377359577,0.0008911911377359577,-0.0016919476354766427
2017-09-07,0.0009233815392770601,0.0009233815392770601,0.0028342722382004304
2017-09-08,-0.0071766063917278276,-0.0071766063917278276,-0.0008222075665399453
2017-09-11,0.008369549191262994,0.008369549191262994,0.006971468252776836
2017-09-12,0.01258925330008776,0.01258925330008776,0.00904558459028637
2017-09-13,-0.015123002695756914,-0.015123002695756914,-0.0026770573809872245
2017-09-14,0.004336756773513882,0.004336756773513882,0.002041377347639095
2017-09-15,-0.0007322221903912366,-0.0007322221903912366,0.0002981912114596863
2017-09-18,0.017385846033840406,0.017385846033840406,0.0066723056681634585
2017-09-19,0.01766186207972006,0.01766186207972006,0.0005420435193490558
2017-09-20,-0.009216434983418374,-0.009216434983418374,-0.0014912848744659257
2017-09-21,0.006776250415722736,0.006776250415722736,-0.0030430719282869
2017-09-22,-0.024150563131098996,-0.024150563131098996,-0.019436236591745204
2017-09-25,-0.036377638047820106,-0.036377638047820106,-0.01140995597533756
2017-09-26,0.02632179598118057,0.02632179598118057,0.0018869227806443956
2017-09-27,-0.013528775086006209,-0.013528775086006209,-0.015442587767749094
2017-09-28,0.011229984788679082,0.011229984788679082,0.004242415837893976
2017-09-29,0.005923741759198896,0.005923741759198896,0.005013426579491886
2017-10-03,0.011374329254728172,0.003303642303641703,0.007255859375000062
2017-10-04,0.017073300457018124,0.017073300457018124,0.005131281947911903
2017-10-05,0.014857506865376615,0.014857506865376615,-4.587354558993617e-05
2017-10-06,0.010522023463685918,0.010522023463685918,0.009297726799848194
2017-10-09,0.007564960868338624,0.007564960868338624,0.0012403456742597907
2017-10-10,0.005472120977423645,0.005472120977423645,0.004330448698417921
2017-10-11,-0.009032339572528403,-0.009032339572528403,-0.004979403156819551
2017-10-12,0.008536209931580375,0.008536209931580375,0.01110611547747764
2017-10-13,-0.003134990234606155,-0.003134990234606155,0.005303726262606334
2017-10-16,-4.1808558632810424e-05,-4.1808558632810424e-05,0.0053763822715644505
2017-10-17,0.002127936964983681,0.002127936964983681,0.0019030755265574406
2017-10-18,0.009961716846260458,0.009961716846260458,-0.0019660665846134018
2017-10-19,0.010092909394043583,0.010092909394043583,-0.005231144001890398
2017-10-23,0.011878208680287175,0.011878208680287175,0.003943989578846674
2017-10-24,-0.007148361669865884,-0.007148361669865884,0.00232917040785785
2017-10-25,-0.009330699595670887,-0.009330699595670887,0.007933308221994562
2017-10-26,0.013380596960151096,0.013380596960151096,0.004588959651239843
2017-10-27,-0.0029882392206401443,-0.0029882392206401443,-0.000252538467345631
2017-10-30,0.007493101433780784,0.007493101433780784,0.006661513080023829
2017-10-31,-0.006103731913876948,-0.006103731913876948,-0.001254759957899032
2017-11-01,0.002632277270047681,0.00016508362539412527,0.008876289489086364
2017-11-02,0.0045781824681467706,0.0045781824681467706,0.0003140701524857459
2017-11-03,0.00997511603266311,0.00997511603266311,0.0024790009066060215
2017-11-06,0.021016980463312275,0.021016980463312275,0.0013443136523760835
2017-11-07,-0.01321653375127453,-0.01321653375127453,-0.011166687412999643
2017-11-08,-0.022882342592131285,-0.022882342592131285,-0.0056709436240171
2017-11-09,0.010682760282907692,0.010682760282907692,0.0032629380302047206
2017-11-10,0.003938399287848572,0.003938399287848572,0.0008363550761809613
2017-11-13,0.0002918476962738319,0.0002918476962738319,-0.007919212934344722
2017-11-14,-0.003237008580379946,-0.003237008580379946,-0.003407692268818985
2017-11-15,-0.02563709539981672,-0.02563709539981672,-0.008589736507761181
2017-11-16,0.009544986336504736,0.009544986336504736,0.01016854715141391
2017-11-17,0.006818599817302216,0.006818599817302216,0.007953624862107045
2017-11-20,0.010471331247710639,0.010471331247710639,0.0027142947226441727
2017-11-21,0.01053567263954042,0.01053567263954042,0.0025649700387537777
2017-11-22,0.0038669219977274143,0.0038669219977274143,0.0011213234316940213
2017-11-23,-0.004431356021931464,-0.004431356021931464,0.0012723550207154322
2017-11-24,0.0031915667513576253,0.0031915667513576253,0.0041976467214190905
2017-11-27,0.0018514088918903555,0.0018514088918903555,0.002319930755902311
2017-11-28,-0.003333251128481813,-0.003333251128481813,-0.0014243534192068807
2017-11-29,-0.005758676351045529,-0.005758676351045529,-0.001037313419448238
2017-11-30,-0.000509145282443277,-0.000509145282443277,-0.009756962736145347
2017-12-01,-0.009190541641246205,-0.0256211022037359,-0.010279055041236496
2017-12-04,-0.0051087725701594805,-0.0051087725701594805,-0.00011597514510364171
2017-12-05,-0.0018282738780020192,-0.0018282738780020192,-0.0003035538000601967
2017-12-06,-0.02031476123993938,-0.02031476123993938,-0.007513836055759615
2017-12-07,0.019093690381010612,0.019093690381010612,0.012738428610618469
2017-12-08,0.010266762393476328,0.010266762393476328,0.009612163162607601
2017-12-11,0.0014491870702021178,0.0014491870702021178,0.004499250514524045
