symbol,date,pe
ADANIENT,2023-05-15,98.51595587118724
ADANIENT,2023-05-16,97.13285963122709
ADANIENT,2023-05-17,97.66501573994445
ADANIENT,2023-05-18,97.17656212081864
ADANIENT,2023-05-19,100.57260268855907
ADANIENT,2023-05-22,119.59915906832535
ADANIENT,2023-05-23,135.41476556224907
ADANIENT,2023-05-24,127.28587654825253
ADANIENT,2023-05-25,130.46595915794813
ADANIENT,2023-05-26,130.82073826561034
ADANIENT,2023-05-29,130.29114919958192
ADANIENT,2023-05-30,128.357896170142
ADANIENT,2023-05-31,128.19851357346127
ADANIENT,2023-06-01,128.13680412671934
ADANIENT,2023-06-02,125.71511003092961
ADANIENT,2023-06-05,125.14438551799853
ADANIENT,2023-06-06,125.12895815631305
ADANIENT,2023-06-07,125.43232109354098
ADANIENT,2023-06-08,124.89758538935871
ADANIENT,2023-06-09,126.02874113891322
ADANIENT,2023-06-12,127.75890280569286
ADANIENT,2023-06-13,126.61489301352978
ADANIENT,2023-06-14,126.337238161519
ADANIENT,2023-06-15,127.80259901889642
ADANIENT,2023-06-16,129.03402634301858
ADANIENT,2023-06-19,123.47078665980702
ADANIENT,2023-06-20,124.15977087529217
ADANIENT,2023-06-21,123.70473274583826
ADANIENT,2023-06-22,123.25741457361508
ADANIENT,2023-06-23,114.84058998407609
ADANIENT,2023-06-26,118.03096587007933
ADANIENT,2023-06-27,117.45766803807135
ADANIENT,2023-06-28,123.50164138317798
ADANIENT,2023-06-30,122.78438831617476
ADANIENT,2023-07-03,122.6532745710121
ADANIENT,2023-07-04,122.76638763541236
ADANIENT,2023-07-05,123.35510027632985
ADANIENT,2023-07-06,123.54791091545846
ADANIENT,2023-07-07,122.34992418656016
ADANIENT,2023-07-10,123.92582478926093
ADANIENT,2023-07-11,124.57623432414437
ADANIENT,2023-07-12,122.77666835894402
ADANIENT,2023-07-13,121.44756788488307
ADANIENT,2023-07-14,122.16996759004012
ADANIENT,2023-07-17,123.83841981007782
ADANIENT,2023-07-18,124.26773730153859
ADANIENT,2023-07-19,124.61994309012391
ADANIENT,2023-07-20,124.41427840838674
ADANIENT,2023-07-21,124.23689513094361
ADANIENT,2023-07-24,124.33458083365838
ADANIENT,2023-07-25,126.8256917806448
ADANIENT,2023-07-26,127.03650310053581
ADANIENT,2023-07-27,124.859023261533
ADANIENT,2023-07-28,126.64830850320168
ADANIENT,2023-07-31,128.13937744579624
ADANIENT,2023-08-01,127.56866548564116
ADANIENT,2023-08-02,127.18047088830703
ADANIENT,2023-08-03,130.21659826300737
ADANIENT,2023-08-04,130.6896245204477
ADANIENT,2023-08-07,131.13694269267089
ADANIENT,2023-08-08,127.23188705874132
ADANIENT,2023-08-09,128.90548591693283
ADANIENT,2023-08-10,131.23462839538564
ADANIENT,2023-08-11,130.57136481789362
ADANIENT,2023-08-14,126.27811458662994
ADANIENT,2023-08-16,125.71768335000652
ADANIENT,2023-08-17,127.49667531536755
ADANIENT,2023-08-18,132.52003265624305
ADANIENT,2023-08-21,135.72583590393177
ADANIENT,2023-08-22,138.72340115080638
ADANIENT,2023-08-23,130.0983385604533
ADANIENT,2023-08-24,130.57393813697053
ADANIENT,2023-08-25,128.3219073613932
ADANIENT,2023-08-28,127.12390807971892
ADANIENT,2023-08-29,128.87205787448497
ADANIENT,2023-08-30,129.21398293953862
ADANIENT,2023-08-31,124.38857032316959
ADANIENT,2023-09-01,125.97219088310108
ADANIENT,2023-09-04,127.02879569608106
ADANIENT,2023-09-05,128.23450238221008
ADANIENT,2023-09-06,128.36046948921893
ADANIENT,2023-09-07,129.02887970486475
ADANIENT,2023-09-08,129.53276068567607
ADANIENT,2023-09-11,134.45071236660604
ADANIENT,2023-09-12,130.3759808596881
ADANIENT,2023-09-13,129.51218668583675
ADANIENT,2023-09-14,129.5584687708932
ADANIENT,2023-09-15,130.5996462221877
ADANIENT,2023-09-18,128.6663931927478
ADANIENT,2023-09-20,127.01336833439557
ADANIENT,2023-09-21,127.47354054922732
ADANIENT,2023-09-22,126.73571348238478
ADANIENT,2023-09-25,127.62008165607546
ADANIENT,2023-09-26,126.37837360842163
ADANIENT,2023-09-27,127.68177855004141
ADANIENT,2023-09-28,127.26787586749013
ADANIENT,2023-09-29,124.1134887902357
ADANIENT,2023-10-03,122.74325286927213
ADANIENT,2023-10-04,126.7382868014617
ADANIENT,2023-10-05,126.8102769717353
ADANIENT,2023-10-06,127.41441697433827
